Row,OR,LB,UB,p_value
ppron,1.49218730181219,1.13063427279534,1.969357375117,0.00469414510403408
Cognition,0.675950546239449,0.549910676109324,0.830878833257231,0.000199486647747299
polite,487175094720.781,64235687418.5083,3694824208385.72,2.02276632585233e-149
moral,14708522.2600322,4940.94313844938,43785289774.0001,5.25112204546474e-05
male,6420604929.70277,213176.565802339,193380391077072,1.77127473862549e-05
Culture,3.28412577536155,2.06241029190326,5.22955211712065,5.45158349150344e-07
acquire,1.6992815741121,1.05727493452188,2.73113243663789,0.028520524129446
risk,0.666815953191351,0.55368648733071,0.803060081119354,1.93531693734676e-05
focuspresent,0.709131350967224,0.580682722472124,0.865993172284786,0.000748517551093511
OtherP,1.68108048255327,1.07461031176927,2.62981990575605,0.0228949264104772
