Row,OR,LB,UB,p_value,VIF
Clout,1.24113232012793,0.904490284279159,1.7030690797235,0.180841227700894,1.59485030991627
Authentic,1.48050495256307,1.10314476734629,1.98695128639966,0.00895027141815484,1.42536498567017
shehe,3.92736856890626,2.21548599660842,6.96200467962562,2.82193373275499e-06,2.03380368397828
ipron,1.04701541952028,0.772108089131258,1.41980288012092,0.767491982080717,1.46769929891448
power,4.57244232015085,2.98497605362288,7.00415292971323,2.82488815385942e-12,1.23795770018701
cogproc,0.643424663687006,0.433913649334793,0.954096047624701,0.028250790752947,2.33212276475819
insight,1.13247279917953,0.813816304288801,1.57590187628682,0.460555019062058,1.81335549399294
certitude,0.50981899058468,0.362069613066005,0.717860305811966,0.000114087625238487,1.37941902284215
socbehav,2.22029630290454,1.55494360955643,3.17035012870842,1.13861533010808e-05,1.45308332247723
polite,1.15913898593196,0.704159417662646,1.90809517703712,0.561428156244992,1.18204767404227
female,1.13179836620791,0.704470516854695,1.8183408831219,0.608775527486886,1.67006190110801
ethnicity,1.82409637995609,1.26754006644446,2.62502755648767,0.00120983675333292,1.09642111688888
Lifestyle,0.974416346810461,0.731168610521431,1.29858859265624,0.859609295495317,1.34300181530774
money,3.10938630201183,1.90372938739012,5.07860163276325,5.84128539401132e-06,1.27614059355408
acquire,1.78685088186844,1.3051061703982,2.44641864888269,0.000293176365601952,1.0690021163487
fulfill,0.939276521907696,0.719673186063028,1.22589030922955,0.64475890480988,1.1779622095846
allure,0.823321277205914,0.62360375694208,1.08700102902513,0.170224151269153,1.20870562601168
focuspast,1.21346586783848,0.880472077800735,1.67239762569989,0.237128038197156,1.37268720755581
focuspresent,0.566463621994339,0.413583722191288,0.775855087678072,0.000398040844177317,1.42745459034808
Period,1.2254553920411,0.912124652420745,1.64642071003898,0.177179517595971,1.10601974555374
Apostro,1.3011833152727,0.973929860670244,1.73839830599188,0.0748678068214571,1.11586792762825
